bad,loan,mortdue,value,reason,job,yoj,derog,delinq,clage,ninq,clno,debtinc,exp,di
1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.37,1,9,44,3,M
1,1300,70053,68400,HomeImp,Other,7,0,2,121.83,0,14,44,2,M
1,1500,13500,16700,HomeImp,Other,4,0,0,149.47,1,10,44,2,M
1,1500,,,,,,,,,,,44,1,M
0,1700,97800,112000,HomeImp,Office,3,0,0,93.33,0,14,44,,M
1,1700,30548,40320,HomeImp,Other,9,0,0,101.47,1,8,37.114,3,C
1,1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,44,2,M
1,1800,28502,43034,HomeImp,Other,11,0,0,88.77,0,8,36.885,3,C
1,2000,32700,46740,HomeImp,Other,3,0,2,216.93,1,12,44,,M
1,2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,44,3,M
1,2000,22608,,,,18,,,,,,44,3,M
1,2000,20627,29800,HomeImp,Office,11,0,1,122.53,1,9,44,3,M
1,2000,45000,55000,HomeImp,Other,3,0,0,86.07,2,25,44,,M
0,2000,64536,87400,,Mgr,2.5,0,0,147.13,0,24,44,,M
1,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,44,3,M
1,2200,24280,34687,HomeImp,Other,,0,1,300.87,0,8,44,1,M
1,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,44,2,M
1,2200,23030,,,,19,,,,,,3.711,3,A
1,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,44,2,M
0,2300,102370,120953,HomeImp,Office,2,0,0,90.99,0,13,31.589,1,B
1,2300,37626,46200,HomeImp,Other,3,0,1,122.27,1,14,44,,M
1,2400,50000,73395,HomeImp,ProfEx,5,1,0,,1,0,44,2,M
1,2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,44,3,M
1,2400,18000,,HomeImp,Mgr,22,,2,121.73,0,10,44,3,M
1,2400,,17180,HomeImp,Other,,0,0,14.57,3,4,44,1,M
1,2400,34863,47471,HomeImp,Mgr,12,0,0,70.49,1,21,38.264,3,C
0,2400,98449,117195,HomeImp,Office,4,0,0,93.81,0,13,29.682,2,B
1,2500,15000,20200,HomeImp,,18,0,0,136.07,1,19,44,3,M
1,2500,25116,36350,HomeImp,Other,10,1,2,276.97,0,9,44,3,M
0,2500,7229,44516,HomeImp,Self,,0,0,208,0,12,44,1,M
0,2500,71408,78600,HomeImp,ProfEx,8,0,0,255.73,0,12,44,3,M
1,2800,50795,63100,HomeImp,Self,26,2,15,145.63,3,45,44,3,M
1,2800,4000,60850,HomeImp,Other,16,4,0,112.63,2,9,44,3,M
1,2900,78600,113000,DebtCon,ProfEx,6,1,0,165.33,2,26,44,2,M
0,2900,103949,112505,HomeImp,Office,1,0,0,96.1,0,13,30.051,1,B
0,2900,104373,120702,HomeImp,Office,2,0,0,101.54,0,13,29.916,1,B
1,2900,7750,67996,HomeImp,Other,16,3,0,122.2,2,8,36.211,3,C
1,2900,61962,70915,DebtCon,Mgr,2,0,0,282.8,3,37,49.206,1,E
0,3000,104570,121729,HomeImp,Office,2,0,0,85.88,0,14,32.06,1,B
1,3000,7000,20300,HomeImp,Other,3,0,0,50.8,5,9,44,,M
1,3000,,8800,HomeImp,Other,2,0,1,77.77,0,3,44,1,M
1,3000,,33000,HomeImp,Other,1,0,1,23.3,1,2,44,1,M
1,3000,119826,193500,HomeImp,Other,8,0,0,130.03,0,27,44,3,M
1,3000,20000,29750,DebtCon,Other,2,0,0,187.07,0,12,44,1,M
1,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,44,,M
1,3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,44,1,M
1,3000,47000,82700,HomeImp,ProfEx,10,0,1,262.17,5,26,44,3,M
1,3000,34542,45900,HomeImp,Mgr,8.5,0,2,62.37,0,10,44,3,M
0,3000,58000,71500,HomeImp,Mgr,10,,2,211.93,0,25,44,3,M
0,3000,47000,56400,HomeImp,Office,21,0,0,201.87,0,20,44,3,M
1,3100,39589,36100,HomeImp,Other,1.5,0,0,153.17,1,14,44,1,M
0,3100,,70400,,,,,,,,,44,1,M
0,3200,67848,74566,HomeImp,Mgr,10,,1,206.43,0,25,40.116,3,C
1,3200,48603,61000,HomeImp,ProfEx,28,0,4,122.03,1,25,44,3,M
1,3200,27200,40834,HomeImp,Other,,0,0,298.13,0,7,35.554,1,C
1,3200,54000,64850,HomeImp,Other,1,0,0,121.87,3,21,44,1,M
0,3200,74864,87266,HomeImp,ProfEx,7,0,0,250.63,0,12,42.91,2,D
1,3200,23159,,HomeImp,Mgr,20,,2,117.81,0,9,0.524,3,A
1,3300,126541,134527,HomeImp,Sales,9,1,0,139,0,36,44,3,M
1,3300,130518,164317,DebtCon,Other,9,0,6,192.29,0,33,35.731,3,C
1,3400,37000,52000,HomeImp,Office,2,0,1,183.3,0,6,44,1,M
1,3500,23200,38666,HomeImp,Other,11,0,0,162.37,0,14,44,3,M
1,3500,19400,20494,HomeImp,Other,5,0,0,95.93,0,9,44,2,M
1,3600,61584,61800,HomeImp,ProfEx,10,,,,,,44,3,M
1,3600,41900,52490,HomeImp,Mgr,3,0,0,72.03,2,4,44,,M
0,3600,83700,111800,HomeImp,ProfEx,6,0,0,192.73,1,28,44,2,M
0,3600,61327,76484,HomeImp,Mgr,9,,2,202.51,0,25,41.516,3,D
0,3600,100693,114743,HomeImp,Office,6,0,0,88.47,0,14,29.394,2,B
1,3600,48507,61000,DebtCon,Office,13,1,4,97.4,0,17,44,3,M
0,3600,52337,63989,HomeImp,Office,20,0,0,204.27,0,20,20.471,3,A
1,3700,17857,21144,HomeImp,Other,5,0,0,129.72,1,9,26.634,2,B
1,3800,19135,97692,HomeImp,Mgr,1.6,1,6,252.63,1,25,44,1,M
0,3800,51180,63459,HomeImp,Office,20,0,0,203.75,0,20,20.067,3,A
0,3800,,73189,,,,,,,,,22.254,1,A
0,3800,11543,46045,HomeImp,Self,,0,0,204.65,0,11,42.173,1,D
1,3900,29896,45960,HomeImp,Other,11,0,0,146.12,0,14,24.479,3,B
1,3900,14500,22092,HomeImp,Other,3.5,0,1,150.3,5,8,44,2,M
0,3900,52825,63000,DebtCon,ProfEx,8,0,4,171.67,1,31,44,3,M
0,3900,102143,118742,HomeImp,Office,2,0,0,85.28,0,13,29.344,1,B
1,3900,21200,39000,DebtCon,Mgr,4,0,1,86.57,2,14,44,2,M
0,4000,105164,112774,HomeImp,Office,1,0,0,94.72,0,13,29.391,1,B
0,4000,54543,61777,HomeImp,Office,21,0,0,205.59,0,19,21.807,3,A
1,4000,,80609,HomeImp,Other,1.5,0,2,126.53,3,12,44,1,M
1,4000,26572,31960,HomeImp,Office,11,0,0,117.8,0,8,41.286,3,D
1,4000,17000,52012,HomeImp,ProfEx,22,3,1,85.33,1,9,44,3,M
1,4000,29562,37200,DebtCon,Other,6,0,0,92.13,1,26,44,2,M
1,4000,41700,76725,HomeImp,Other,0.5,0,3,136.13,0,15,44,1,M
1,4000,58000,69440,HomeImp,Other,3.5,0,1,168.67,0,18,44,2,M
1,4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,44,1,M
1,4000,45000,58350,HomeImp,Mgr,3.5,0,0,162,3,16,44,2,M
1,4000,7000,16020,HomeImp,Other,18,0,1,85.8,2,23,44,3,M
0,4000,66000,79050,HomeImp,Other,1.8,2,0,279,1,6,44,1,M
0,4000,,45760,HomeImp,,0,0,0,,0,0,44,1,M
0,4000,62000,78000,HomeImp,Other,4,0,0,109.57,0,15,44,2,M
0,4000,64240,63990,HomeImp,Sales,5,2,0,160.3,1,23,44,2,M
1,4000,74000,93000,HomeImp,ProfEx,2.6,1,3,186.63,,9,44,,M
1,4000,55000,59000,DebtCon,Other,12,2,0,146.1,0,22,44,3,M
0,4000,67625,80698,HomeImp,Mgr,11,,1,212.35,0,25,39.129,3,C
0,4000,67533,71865,HomeImp,Mgr,10,,2,227.79,0,25,39.166,3,C
1,4100,,19132,HomeImp,Other,0,0,0,100.77,0,19,33.841,1,B
1,4100,58500,65000,HomeImp,Other,8,1,2,63.93,2,15,44,3,M
0,4100,57992,63797,DebtCon,ProfEx,7,0,4,165.51,1,31,22.278,2,A
0,4200,56544,59218,HomeImp,Office,19,0,0,211,1,20,19.028,3,A
1,4200,34800,50225,HomeImp,Other,2,1,0,93.5,1,5,44,1,M
0,4200,67700,77000,DebtCon,Sales,4,0,0,128.83,0,31,44,2,M
0,4200,44000,55085,DebtCon,,6,,1,75.43,,16,44,2,M
0,4200,66272,82953,HomeImp,Other,3,0,0,110.28,0,15,43.451,,E
0,4200,50216,58541,HomeImp,Office,19,0,0,209.87,0,19,20.208,3,A
